caseid,SpendUnemp,TaxUnempCorrect,KnowledgeIndex2,GOP,KnowledgeIndex2GOP,EducGOP,Educ,AgeGOP,Age,MaleGOP,Male,WhiteGOP,White
461,3,3,6,1,6,4,4,28,28,0,0,1,1
462,2,2,6,,,,2,,41,,0,,1
463,2,2,2,,,,2,,42,,0,,1
464,2,2,2,0,0,0,2,0,47,0,0,0,1
465,2,2,4,0,0,0,3,0,29,0,1,0,1
466,3,2,6,0,0,0,5,0,27,0,1,0,1
467,1,3,5,1,5,2,2,51,51,1,1,1,1
468,3,1,8,0,0,0,2,0,42,0,0,0,1
469,,,3,0,0,0,2,0,43,0,0,0,0
470,2,2,5,0,0,0,3,0,51,0,0,0,0
471,1,3,9,1,9,3,3,69,69,1,1,0,0
472,2,3,5,0,0,0,3,0,29,0,0,0,0
473,1,3,9,1,9,1,1,55,55,0,0,0,0
474,1,3,3,1,3,2,2,52,52,0,0,1,1
475,2,3,9,0,0,0,4,0,56,0,0,0,0
476,1,3,8,0,0,0,2,0,55,0,1,0,1
477,1,2,3,0,0,0,2,0,49,0,0,0,1
478,1,3,6,1,6,4,4,56,56,1,1,0,0
479,1,3,9,1,9,2,2,47,47,1,1,0,0
480,3,3,5,0,0,0,4,0,47,0,0,0,0
481,1,3,6,0,0,0,2,0,55,0,1,0,1
482,2,2,5,0,0,0,2,0,40,0,0,0,0
483,1,3,2,0,0,0,3,0,51,0,0,0,0
484,2,1,5,0,0,0,2,0,64,0,1,0,0
485,,,3,1,3,3,3,55,55,1,1,0,0
486,3,2,6,0,0,0,5,0,23,0,1,0,1
487,3,2,8,0,0,0,2,0,58,0,1,0,0
488,1,3,6,1,6,2,2,43,43,0,0,1,1
489,3,2,9,0,0,0,2,0,39,0,1,0,1
