CourseID,InstrID,Year,Required,Eval,Apct,Enrollment
1129,29,201011,0,4.6900001,.47,34
1139,29,201011,0,4.75,.79000002,14
1409,29,201011,0,4.25,.88,8
1515,29,201011,0,5,1,4
1139,29,201112,0,5,.60000002,15
1409,29,201112,0,4.71,.89999998,10
1515,29,201112,0,4.8299999,.86000001,7
23,29,201112,0,5,.52999997,15
1139,29,201213,0,4.73,.80000001,15
1409,29,201213,0,5,1,9
1515,29,201213,0,4.8000002,1,8
23,29,201213,0,4.9200001,.93000001,15
1236,30,200304,0,5,1,3
1302,30,200304,0,4.4699998,.44,61
1302,30,200304,0,4.71,.54000002,39
1236,30,200405,0,4.6700001,1,7
1302,30,200405,0,4.6999998,.52999997,49
1302,30,200405,0,4.5300002,.64999998,51
1306,30,200405,0,4.8000002,.87,15
1236,30,200607,0,4.71,1,7
1302,30,200607,0,4.21,.47,45
1628,30,200607,0,4.4000001,.80000001,10
1302,30,200708,0,4.5599999,,58
1236,30,200809,0,4.0999999,1,10
1302,30,200809,0,4.5,.36000001,44
1302,30,200809,0,4.48,.46000001,46
1660,30,200809,0,4.27,.80000001,15
1236,30,200910,0,4.75,1,8
1302,30,200910,0,3.97,.30000001,46
1302,30,200910,0,4.52,.34,41
1660,30,200910,0,5,.75,4
1302,30,201011,0,4.3299999,.34999999,34
1310,30,201011,0,4.5999999,.80000001,5
1236,30,201112,0,4.6900001,1,13
1302,30,201112,0,4.73,.43000001,58
1302,30,201112,0,4.2600002,.44999999,49
1660,30,201112,0,4.8000002,.67000002,6
1302,30,201213,0,4.3600001,.52999997,58
1302,30,201213,0,4.21,.37,38
1310,30,201213,0,4.6700001,.80000001,15
1348,30,201213,0,4.9000001,.67000002,12
1375,31,200304,0,4.3200002,.56999999,37
1671,31,200304,0,4.8800001,.88999999,9
34,31,200304,0,4.3800001,.94,17
1375,31,200405,0,4.5999999,.5,56
1671,31,200405,0,4.8000002,1,10
38,31,200405,0,4.4000001,.75,20
1175,31,200607,0,4.46,.64999998,52
1201,31,200607,0,4.6199999,.70999998,14
1440,31,200607,0,4.2399998,.72000003,18
38,31,200607,0,4.7199998,.85000002,20
1175,31,200708,0,4.1900001,,51
1175,31,200708,0,4.23,,56
1201,31,200708,0,4.79,,14
38,31,200708,0,5,,20
1201,31,200809,0,4.9200001,.85000002,13
1568,31,200809,0,5,1,4
1652,31,200809,0,4.25,.92000002,8
38,31,200809,0,4.71,.75,21
43,31,200809,0,4.9000001,.92000002,14
45,31,200910,1,3.9000001,.68000001,25
45,31,200910,1,4.5999999,.44,27
1201,31,201011,0,4.8299999,.77999997,13
1650,31,201011,0,4.54,.80000001,14
38,31,201011,0,4.9499998,.89999998,20
1650,31,201112,0,4.8000002,.70999998,14
38,31,201112,0,4.4699998,.47999999,21
41,31,201112,0,5,1,8
1201,31,201213,0,4.9099998,.76999998,13
1650,31,201213,0,5,.92000002,12
38,31,201213,0,4.8200002,.44999999,22
1392,32,200304,0,4.9000001,.97000003,33
1593,32,200304,0,4.4299998,.75,16
46,32,200304,1,4.5,.19,100
1392,32,200405,0,4.5799999,1,27
46,32,200405,1,4.3000002,.25,100
1368,32,200607,0,4.8000002,.36000001,14
46,32,200607,1,4.9099998,.059999999,35
1368,32,200708,0,4.7399998,,27
1670,32,200708,0,4.8200002,,17
46,32,200708,1,,,31
47,32,200708,0,,,14
1317,32,201011,0,3.72,.44999999,20
1368,32,201011,0,4.8499999,.79000002,14
1670,32,201011,0,4.1700001,1,18
46,32,201011,1,4.5599999,.33000001,90
1317,32,201112,0,,.75,24
46,32,201112,1,,.33000001,90
1317,32,201213,0,4.7600002,.47999999,21
1341,32,201213,0,4.6900001,.58999997,29
1368,32,201213,0,4.79,.73000002,22
46,32,201213,1,3.9300001,.44,85
1109,33,200405,0,4.7600002,.77999997,23
1195,33,200405,0,4.5300002,.56,18
1318,33,200405,0,4.71,.63,19
1109,33,200607,0,4.3800001,.56,27
1195,33,200607,0,4.4000001,.56,16
1318,33,200607,0,4.5,.86000001,7
1109,33,200708,0,4.71,,20
1195,33,200708,0,4.5799999,,16
1318,33,200708,0,4.5300002,,20
1533,33,200708,0,5,,2
1195,33,200809,0,4.5700002,.82999998,18
1318,33,200809,0,4.8099999,.75999999,33
1429,33,200809,0,4,.88999999,9
1438,33,200809,0,4.3000002,.89999998,10
1195,33,200910,0,4.8200002,.73000002,18
1318,33,200910,0,4.8800001,.88,27
1429,33,200910,0,4.4000001,.93000001,13
1438,33,200910,0,5,1,5
1008,33,201011,1,3.6300001,.46000001,202
1195,33,201011,0,4.3299999,.88,16
1318,33,201011,0,5,.82999998,24
1351,33,201011,0,3.5799999,.57999998,38
1195,33,201112,0,4.6900001,.69,16
1453,33,201112,0,4.4299998,1,7
1008,33,201213,1,3.8800001,.30000001,146
1195,33,201213,0,4.8899999,.88,16
1318,33,201213,0,4.25,.77999997,23
